AgentID,X,Y,Type,Status,PopDensity,TempCelsius
b77f54dc-0675-44a9-ade7-76f83afadfdf,38.721829,8.933083,WaterTank,true,1.0000,22.00
c1bd797b-0652-4d4a-b9f2-5a694c517f26,38.796585,9.030519,WaterTank,true,1.0000,22.00
ec7c67d8-a852-4d7d-9f6d-bd01038434bc,38.713125,9.003481,WaterTank,true,1.0000,22.00
388a1174-a5a9-41c1-b1e2-e016a8c793e0,38.728112,8.955001,WaterTank,true,1.0000,22.00
c7d1c78c-ba6b-4e40-ac80-138438a4a716,38.762193,8.944529,WaterTank,true,1.0000,22.00
7882db42-ae04-4d44-9613-25117b6bd215,38.766269,8.972573,WaterTank,true,1.0000,22.00
a62c00cc-2d96-4d61-b4c4-79a91d5afddd,38.712206,8.951730,WaterTank,true,1.0000,22.00
b72c3b3f-9c63-452f-925b-c86b782fd7fe,38.739616,8.963762,WaterTank,true,1.0000,22.00
24fcb16a-ce9b-4a3f-957c-9abffd6192a7,38.752117,8.935952,WaterTank,true,1.0000,22.00
c8fe503c-8095-4581-bce0-6e85082ae606,38.717405,8.947457,WaterTank,true,1.0000,22.00
ebaef958-c895-45db-a100-88c2c2a14f07,38.756615,9.022766,WaterTank,true,1.0000,22.00
6ae05a14-02bb-48f6-ae4e-d6943ffc363f,38.795129,8.986417,WaterTank,true,1.0000,22.00
f113a774-46d2-4111-8534-ad41db2bebb9,38.713545,8.943964,WaterTank,true,1.0000,22.00
89bcf29d-4905-4cbe-aabe-9d9d8d286b1f,38.772212,8.948678,WaterTank,true,1.0000,22.00
5a832687-4b7a-4504-95e0-99fd552b4968,38.763209,8.992888,WaterTank,true,1.0000,22.00
c51fa862-bee3-4d22-a3ce-65f794db59b8,38.761148,8.985220,WaterTank,true,1.0000,22.00
88983377-3d6c-4fa5-8a41-93f8de7ef183,38.729532,8.999634,WaterTank,true,1.0000,22.00
6ca2966b-2e7b-4a12-a86f-b52ea5ccdbc8,38.787032,8.995230,WaterTank,true,1.0000,22.00
49110170-1308-460f-a1d8-a737a3c382de,38.731765,8.944829,WaterTank,true,1.0000,22.00
c77f930b-3b3e-4a2c-9ce8-968c8e9fc2aa,38.759171,8.989512,WaterTank,true,1.0000,22.00
6a3736a3-f701-4f1c-8a7c-e8fde8255934,38.727224,8.971364,WaterTank,true,1.0000,22.00
76b1356c-e2de-4779-822b-984c9442101a,38.722349,9.029833,WaterTank,true,1.0000,22.00
e37e696a-cc32-4a8c-b054-d0d5cc662eb0,38.750492,8.972353,WaterTank,true,1.0000,22.00
25525e0f-2ca4-472a-ad83-bad935e0d95b,38.724321,9.017446,WaterTank,true,1.0000,22.00
7d92102a-2cde-438e-9c85-118c980b1ab5,38.782576,9.030526,WaterTank,true,1.0000,22.00
f979c35e-a0c4-4915-bca2-520f1bc0d37f,38.768236,9.027528,WaterTank,true,1.0000,22.00
4ac54f74-fafc-4251-9a53-399bc2c4ff27,38.804731,8.959379,WaterTank,true,1.0000,22.00
858906c2-5f27-48ac-9ab7-1df62da3ac9f,38.753959,8.937959,WaterTank,true,1.0000,22.00
70e78a2b-c985-4d6d-baa5-6b9063457a00,38.765935,8.949632,WaterTank,true,1.0000,22.00
5ba0ba12-ceaf-43e1-a06d-37dc2385d40c,38.750612,8.980647,WaterTank,true,1.0000,22.00
ebd8f17c-7eaa-47f0-a3dc-658e53f8c36b,38.720474,8.955876,WaterTank,true,1.0000,22.00
